date_start_proxy_week_start,2018-01-01,2018-01-08,2018-01-15,2018-01-22,2018-01-29,2018-02-05,2018-02-12,2018-02-19,2018-02-26,2018-03-05,2018-03-12,2018-03-19,2018-03-26,2018-04-02,2018-04-09,2018-04-16,2018-04-23,2018-04-30,2018-05-07,2018-05-14,2018-05-21,2018-05-28,2018-06-04,2018-06-11,2018-06-18,2018-06-25,2018-07-02,2018-07-09,2018-07-16,2018-07-23,2018-07-30,2018-08-06,2018-08-13,2018-08-20,2018-08-27,2018-09-03,2018-09-10,2018-09-17,2018-09-24,2018-10-01,2018-10-08,2018-10-15,2018-10-22,2018-10-29
2018-01-01,73.0,25.0,36.0,33.0,0.0,4.0,0.0,13.0,42.0,36.0,12.0,64.0,55.0,2.0,0.0,12.0,0.0,37.0,48.0,37.0,53.0,34.0,0.0,2.0,0.0,0.0,14.0,42.0,37.0,14.0,12.0,22.0,15.0,11.0,5.0,16.0,0.0,8.0,24.0,2.0,0.0,18.0,4.0,0.0
2018-01-08,,28.0,0.0,9.0,0.0,,0.0,,,8.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,3.0,10.0,10.0,,0.0,4.0,0.0,,38.0,15.0,30.0,,0.0,0.0,0.0,11.0,7.0,0.0,,18.0,0.0,0.0,0.0,4.0,
2018-01-15,,,72.0,21.0,0.0,0.0,2.0,1.0,10.0,23.0,58.0,0.0,,,8.0,6.0,6.0,11.0,7.0,16.0,,18.0,6.0,0.0,3.0,0.0,46.0,20.0,32.0,0.0,5.0,0.0,15.0,,4.0,31.0,20.0,43.0,12.0,0.0,5.0,11.0,4.0,6.0
2018-01-22,,,,13.0,19.0,0.0,,,,8.0,7.0,0.0,,0.0,0.0,1.0,0.0,1.0,7.0,12.0,,0.0,4.0,0.0,,,17.0,7.0,,,,2.0,3.0,,,0.0,,9.0,9.0,,,4.0,0.0,
2018-01-29,,,,,3.0,0.0,,,,,,,0.0,0.0,0.0,0.0,6.0,0.0,19.0,0.0,,,0.0,0.0,0.0,,,7.0,,0.0,,0.0,,4.0,0.0,,18.0,0.0,16.0,0.0,,6.0,5.0,0.0
2018-02-12,,,,,,,0.0,0.0,8.0,,15.0,,0.0,0.0,0.0,,0.0,0.0,9.0,,,6.0,,3.0,0.0,,33.0,15.0,,,,6.0,,0.0,0.0,4.0,0.0,,,0.0,0.0,0.0,,
2018-03-12,,,,,,,,,,,10.0,,0.0,,0.0,,0.0,4.0,15.0,,21.0,0.0,0.0,0.0,6.0,,0.0,,0.0,5.0,,,,,0.0,,,,,0.0,,2.0,,
2018-04-02,,,,,,,,,,,,,,0.0,,5.0,,0.0,,8.0,,7.0,,,,,6.0,9.0,0.0,0.0,,6.0,,0.0,,0.0,,,,,4.0,,,
